(1, 'John', 'Doe', '1985-01-15', 10, 'chef', NULL),
(80, 'Victoria', 'Perry', '1990-12-06', 8, 'c_cook', NULL),
(81, 'Sebastian', 'Powell', '1984-11-10', 14, 'sous_chef', NULL),
(82, 'Hannah', 'Long', '1986-02-22', 13, 'b_cook', NULL),
(83, 'Eli', 'Patterson', '1982-07-18', 18, 'chef', NULL),
(84, 'Riley', 'Hughes', '1994-01-25', 4, 'a_cook', NULL),
(85, 'David', 'Flores', '1988-06-11', 12, 'c_cook', NULL),
(86, 'Zoey', 'Washington', '1987-10-03', 11, 'sous_chef', NULL),
(87, 'Anthony', 'Butler', '1983-09-14', 16, 'b_cook', NULL),
(88, 'Ava', 'Simmons', '1991-05-30', 7, 'chef', NULL),
(89, 'Henry', 'Foster', '1992-12-01', 6, 'a_cook', NULL),
(90, 'Sofia', 'Gonzalez', '1990-03-17', 8, 'c_cook', NULL),
(91, 'Christian', 'Bryant', '1982-08-20', 18, 'sous_chef', NULL),
(92, 'Riley', 'Alexander', '1985-11-04', 15, 'b_cook', NULL),
(93, 'James', 'Russell', '1986-05-14', 13, 'chef', NULL),
(94, 'Evelyn', 'Griffin', '1994-09-11', 4, 'a_cook', NULL),
(95, 'Daniel', 'Diaz', '1989-01-19', 10, 'c_cook', NULL),
(96, 'Liam', 'Hayes', '1988-07-03', 12, 'sous_chef', NULL),
(97, 'Scarlett', 'Myers', '1983-12-21', 17, 'b_cook', NULL),
(98, 'Noah', 'Ford', '1991-06-08', 7, 'chef', NULL),
(99, 'Avery', 'Hamilton', '1993-11-26', 5, 'a_cook', NULL),
(100, 'Olivia', 'Graham', '1990-04-29', 8, 'c_cook', NULL),
(101, 'Boska', 'Dinuv', '2001-07-31', 5, 'chef', NULL),
(102, 'Marouska', 'Galei', '2005-04-20', 2, 'sous_chef', NULL),
(103, 'Bobi', 'Bush', '2002-04-15', 8, 'c_cook', NULL),
(104, 'Johnakis', 'Johnakos', '2002-02-23', 1, 'a_cook', NULL),
(105, 'Takaros', 'Tselai', '2004-10-14', 0, 'a_cook', NULL),
(106, 'Abo', 'Kono', '2000-04-29', 8, 'c_cook', NULL),
(107, 'Anakin', 'Skywalker', '1997-04-29', 7, 'c_cook', NULL),
(108, 'Leia', 'Skywalker', '1999-01-29', 8, 'c_cook', NULL),
(109, 'Luck', 'Skywalker', '1998-04-09', 5, 'chef', NULL),
(110, 'Rei', 'NotSkywalker', '1999-04-29', 0, 'a_cook', NULL),
(111, 'Darth', 'Vader', '1999-11-12', 2, 'c_cook', NULL),
(112, 'Palpatine', 'Dewit', '2000-04-02', 8, 'b_cook', NULL),
(113, 'Bond', 'Jamesbond', '2001-04-11', 1, 'sous_chef', NULL),
(114, 'Oliver', 'Twist', '2003-06-29', 8, 'c_cook', NULL),
(115, 'Donatello', 'Green', '2001-09-29', 8, 'c_cook', NULL);
